85377
7	3.3
31	40.0
47	16.0
70	2.6
83	5.0
108	3.15
127	3.8
147	8.7
179	8.7
199	4.7
208	9.9
219	3.15
233	2.6
246	14.0
253	14.0
259	2.6
269	7.3
294	27.5
306	6.12
323	4.15
346	4.15
372	4.15
379	5.5
405	5.8
417	2.1
439	7.8
459	2.6
465	7.8
471	7.8
478	7.8
485	14.1
496	2.6
506	2.6
520	18.5
534	7.3
556	14.1
569	2.6
576	3.6
585	5.4
599	5.5
613	14.1
630	14.0
643	45.0
658	45.0
670	39.5
678	13.5
684	45.0
693	45.0
701	7.3
716	7.3
726	14.1
737	5.5
748	13.5
757	13.5
765	45.0
776	45.0
789	3.97
795	45.0
802	45.0
811	7.0
826	5.0
842	5.5
856	2.9
883	3.8
898	3.7
915	3.4
932	39.5
937	45.7
945	45.7
952	4.86
963	5.7
975	5.65
988	7.0
998	2.4
1005	45.7
1014	45.7
1024	28.0
1046	6.4
1053	2.5
1058	6.4
1068	3.5
1088	2.5
1108	1.0
1116	28.0
1122	28.0
1132	39.5
1137	13.5
1144	19.0
1149	20.0
1154	28.0
1159	39.5
1166	2.3
1182	20.0
1199	4.9
1220	7.2
1232	1.0
1245	5.0
1254	3.9
1269	8.4
1284	28.0
1290	1.8
1295	19.0
1299	5.47
1312	17.3
1326	14.0
1345	13.0
1362	5.47
1367	5.47
1372	14.0
1377	14.0
1382	5.3
1388	5.47
1394	14.0
1409	14.0
1420	14.0
1424	14.0
1432	5.3
1444	3.1
1456	3.1
1463	14.0
1473	1.1
1485	27.0
1502	7.18
1521	5.17
1532	3.3
1546	3.7
1556	4.85
1575	3.8
1597	4.85
1607	4.85
1619	21.0
1626	1.0
1637	5.62
1655	10.5
1665	2.0
1675	18.0
1685	12.8
1708	12.8
1727	12.8
1747	12.8
1764	19.0
1769	32.0
1781	32.0
1786	14.0
1791	14.0
1795	32.0
1805	12.5
1809	12.5
1813	12.5
1818	12.5
1822	6.7
1835	14.0
1841	1.0
1848	1.0
1854	14.0
1869	3.6
1880	4.2
1887	5.0
1892	12.2
1898	12.2
1904	12.2
1910	12.2
1916	5.0
1929	6.7
1937	13.4
1951	5.2
1957	1.0
1969	18.0
1975	1.18
1983	23.0
1999	5.2
2013	18.0
2039	13.4
2049	13.4
2053	3.5
2059	3.5
2065	4.0
2073	4.2
2080	3.22
2088	4.4
2108	28.0
2113	28.0
2119	2.34
2128	4.6
2133	10.1
2155	19.0
2161	11.3
2175	11.3
2186	22.0
2193	4.9
2212	25.0
2225	28.0
2235	15.8
2240	15.8
2251	4.93
2260	5.5
2273	2.7
2281	4.85
2289	4.9
2298	11.3
2312	11.3
2326	3.65
2334	1.49
2344	3.8
2354	1.8
2358	4.93
2369	4.0
2383	6.3
2389	5.0
2397	1.0
2405	11.3
2420	11.3
2435	6.9
2448	3.5
2453	6.9
2458	52.5
2465	52.5
2472	52.5
2480	52.5
2487	52.5
2494	52.5
2501	21.3
2517	6.9
2536	52.5
2550	52.5
2564	3.5
2574	13.0
2584	4.85
2598	10.0
2611	2.9
2624	13.4
2634	8.4
2648	11.3
2663	11.3
2675	21.6
2680	12.8
2687	10.0
2692	11.3
2697	11.3
2701	12.8
2714	13.4
2726	52.5
2740	52.5
